datetime,open,high,low,close,volume,oi
2024-12-05 09:15:00+05:30,8820.5,8820.5,8607.5,8615.0,241722,0
2024-12-05 10:15:00+05:30,8615.0,8623.5,8586.5,8597.0,129380,0
2024-12-05 11:15:00+05:30,8597.0,8600.0,8530.5,8581.5,430839,0
2024-12-05 12:15:00+05:30,8579.5,8602.0,8546.5,8599.0,300116,0
2024-12-05 13:15:00+05:30,8597.5,8650.0,8586.5,8633.0,305745,0
2024-12-05 14:15:00+05:30,8632.5,8694.5,8589.5,8693.0,316548,0
2024-12-05 15:15:00+05:30,8692.5,8698.5,8676.0,8685.0,73288,0
2024-12-06 09:15:00+05:30,8732.5,8910.5,8709.5,8833.0,325645,0
2024-12-06 10:15:00+05:30,8834.0,8923.0,8817.5,8884.0,118506,0
2024-12-06 11:15:00+05:30,8884.0,8889.5,8827.0,8858.5,89304,0
2024-12-06 12:15:00+05:30,8858.5,8889.5,8851.0,8868.5,47773,0
2024-12-06 13:15:00+05:30,8868.5,8888.5,8860.5,8877.0,44624,0
2024-12-06 14:15:00+05:30,8874.0,8899.5,8866.5,8874.0,76274,0
2024-12-06 15:15:00+05:30,8874.0,8883.0,8870.0,8875.0,39874,0
2024-12-09 09:15:00+05:30,8871.0,8944.5,8803.5,8838.0,92120,0
2024-12-09 10:15:00+05:30,8841.5,8899.5,8836.0,8894.5,41997,0
2024-12-09 11:15:00+05:30,8894.5,8899.5,8885.0,8889.5,26731,0
2024-12-09 12:15:00+05:30,8887.5,8899.5,8886.0,8894.5,31864,0
2024-12-09 13:15:00+05:30,8894.5,8897.5,8858.5,8862.0,27239,0
2024-12-09 14:15:00+05:30,8862.0,8881.0,8837.0,8838.0,51475,0
2024-12-09 15:15:00+05:30,8838.0,8854.5,8829.0,8848.5,29454,0
2024-12-10 09:15:00+05:30,8851.0,8870.0,8758.0,8812.0,91893,0
2024-12-10 10:15:00+05:30,8812.0,8824.5,8777.5,8796.0,29966,0
2024-12-10 11:15:00+05:30,8797.0,8806.0,8771.0,8792.0,43851,0
2024-12-10 12:15:00+05:30,8792.0,8795.5,8774.5,8792.0,26788,0
2024-12-10 13:15:00+05:30,8792.0,8797.0,8768.0,8785.0,22992,0
2024-12-10 14:15:00+05:30,8783.5,8818.0,8768.0,8793.0,107815,0
2024-12-10 15:15:00+05:30,8793.0,8802.0,8785.0,8791.0,67583,0
2024-12-11 09:15:00+05:30,8821.5,8883.5,8791.0,8835.0,54459,0
2024-12-11 10:15:00+05:30,8835.0,8874.0,8827.0,8855.5,23276,0
2024-12-11 11:15:00+05:30,8855.5,8865.5,8854.5,8858.5,29519,0
2024-12-11 12:15:00+05:30,8858.5,8860.5,8819.0,8844.5,28059,0
2024-12-11 13:15:00+05:30,8844.5,8855.5,8837.0,8850.5,14354,0
