datetime,open,high,low,close,volume,oi
2024-12-05 09:15:00+05:30,1006.0,1006.0,993.25,993.35,637140,0
2024-12-05 10:15:00+05:30,993.5,996.0,991.5,993.35,287643,0
2024-12-05 11:15:00+05:30,993.35,1002.0,990.55,1000.35,417106,0
2024-12-05 12:15:00+05:30,1000.4,1002.55,998.1,1002.05,1130636,0
2024-12-05 13:15:00+05:30,1002.05,1002.55,997.9,999.4,658840,0
2024-12-05 14:15:00+05:30,999.4,1000.95,993.35,999.0,1602474,0
2024-12-05 15:15:00+05:30,999.0,999.85,997.55,997.8,493147,0
2024-12-06 09:15:00+05:30,1000.0,1000.35,987.1,989.5,1065412,0
2024-12-06 10:15:00+05:30,989.5,1003.05,986.3,997.15,2334441,0
2024-12-06 11:15:00+05:30,997.2,997.35,990.05,990.95,709030,0
2024-12-06 12:15:00+05:30,991.0,993.0,989.0,991.05,522388,0
2024-12-06 13:15:00+05:30,991.1,991.55,988.4,989.15,461533,0
2024-12-06 14:15:00+05:30,989.0,991.8,987.7,991.05,776588,0
2024-12-06 15:15:00+05:30,991.0,991.75,988.0,988.05,374742,0
2024-12-09 09:15:00+05:30,992.8,994.0,977.8,980.7,1362508,0
2024-12-09 10:15:00+05:30,980.7,985.9,980.35,984.7,425073,0
2024-12-09 11:15:00+05:30,984.7,989.4,984.0,987.4,519585,0
2024-12-09 12:15:00+05:30,987.75,987.9,984.0,986.15,377418,0
2024-12-09 13:15:00+05:30,986.15,987.3,982.35,983.0,280378,0
2024-12-09 14:15:00+05:30,983.1,984.0,981.55,982.1,353081,0
2024-12-09 15:15:00+05:30,982.1,983.55,981.75,982.75,235512,0
2024-12-10 09:15:00+05:30,983.0,988.4,980.9,985.05,569973,0
2024-12-10 10:15:00+05:30,985.05,986.4,983.2,986.05,231385,0
2024-12-10 11:15:00+05:30,986.1,986.4,984.25,984.55,375575,0
2024-12-10 12:15:00+05:30,984.6,984.6,979.1,982.45,354518,0
2024-12-10 13:15:00+05:30,982.45,982.5,979.1,981.65,196953,0
2024-12-10 14:15:00+05:30,981.65,986.05,980.95,984.1,1296811,0
2024-12-10 15:15:00+05:30,984.05,985.35,982.05,983.6,810313,0
2024-12-11 09:15:00+05:30,985.5,986.85,981.25,982.35,517180,0
2024-12-11 10:15:00+05:30,982.35,984.45,981.65,981.9,322544,0
2024-12-11 11:15:00+05:30,981.9,999.9,981.4,995.15,999399,0
2024-12-11 12:15:00+05:30,995.15,998.9,991.3,997.4,535438,0
2024-12-11 13:15:00+05:30,997.4,997.7,989.55,989.7,812338,0
2024-12-11 14:15:00+05:30,989.75,991.25,984.6,984.65,1055954,0
2024-12-11 15:15:00+05:30,984.65,985.15,984.0,984.3,431165,0
2024-12-12 09:15:00+05:30,986.0,993.9,986.0,989.4,581330,0
2024-12-12 10:15:00+05:30,989.4,1003.6,988.4,1000.0,1003307,0
2024-12-12 11:15:00+05:30,999.95,1005.5,996.2,996.3,708730,0
2024-12-12 12:15:00+05:30,996.45,1000.0,994.05,999.6,401702,0
2024-12-12 13:15:00+05:30,999.65,1005.0,998.95,1001.15,2136642,0
2024-12-12 14:15:00+05:30,1001.4,1002.05,997.1,998.2,608591,0
2024-12-12 15:15:00+05:30,998.25,998.4,996.3,998.0,323679,0
2024-12-13 09:15:00+05:30,991.0,997.65,974.1,977.5,1281596,0
2024-12-13 10:15:00+05:30,977.25,977.5,965.55,970.9,1076993,0
2024-12-13 11:15:00+05:30,970.9,979.45,968.95,978.4,668522,0
2024-12-13 12:15:00+05:30,978.45,987.7,977.3,985.1,1350734,0
2024-12-13 13:15:00+05:30,985.1,988.6,982.2,986.95,388989,0
2024-12-13 14:15:00+05:30,986.95,988.15,984.0,987.5,550484,0
2024-12-13 15:15:00+05:30,987.5,989.0,985.5,987.5,330324,0
2024-12-16 09:15:00+05:30,987.9,1007.95,985.55,1001.2,1116101,0
2024-12-16 10:15:00+05:30,1001.15,1002.7,995.0,995.2,406225,0
2024-12-16 11:15:00+05:30,995.25,997.9,992.3,997.2,479863,0
2024-12-16 12:15:00+05:30,997.05,999.85,994.75,997.05,279644,0
2024-12-16 13:15:00+05:30,997.05,1000.65,997.05,999.7,222187,0
2024-12-16 14:15:00+05:30,999.7,1000.5,998.3,999.65,384725,0
2024-12-16 15:15:00+05:30,999.65,999.95,998.0,998.2,156462,0
2024-12-17 09:15:00+05:30,1002.0,1002.0,990.15,993.35,462069,0
2024-12-17 10:15:00+05:30,993.35,994.95,986.0,993.55,336926,0
2024-12-17 11:15:00+05:30,993.55,994.95,986.1,986.95,439136,0
2024-12-17 12:15:00+05:30,986.95,988.55,984.55,985.05,398085,0
2024-12-17 13:15:00+05:30,984.5,984.9,977.2,978.15,492150,0
2024-12-17 14:15:00+05:30,978.15,979.35,974.35,974.35,697335,0
2024-12-17 15:15:00+05:30,974.35,975.5,972.0,974.45,455921,0
2024-12-18 09:15:00+05:30,976.8,979.3,968.0,970.95,690906,0
2024-12-18 10:15:00+05:30,970.7,975.25,969.25,970.2,313289,0
2024-12-18 11:15:00+05:30,970.2,972.45,967.4,968.1,268933,0
2024-12-18 12:15:00+05:30,968.1,969.25,963.5,968.3,481961,0
2024-12-18 13:15:00+05:30,968.3,968.9,964.0,964.4,315671,0
2024-12-18 14:15:00+05:30,964.4,965.55,960.5,963.9,647304,0
2024-12-18 15:15:00+05:30,963.85,968.0,963.85,967.5,222005,0
2024-12-19 09:15:00+05:30,959.0,959.9,948.0,949.3,1243739,0
2024-12-19 10:15:00+05:30,949.3,959.95,948.4,958.15,548445,0
2024-12-19 11:15:00+05:30,958.15,966.35,958.0,962.95,372868,0
2024-12-19 12:15:00+05:30,963.05,963.9,960.45,962.45,339597,0
2024-12-19 13:15:00+05:30,962.2,963.6,958.5,959.55,394304,0
2024-12-19 14:15:00+05:30,959.55,966.85,958.55,964.55,517610,0
2024-12-19 15:15:00+05:30,964.45,965.25,963.05,964.0,212267,0
2024-12-20 09:15:00+05:30,960.0,966.85,950.7,952.25,683430,0
2024-12-20 10:15:00+05:30,952.3,958.55,951.15,956.8,263431,0
2024-12-20 11:15:00+05:30,956.8,957.65,951.75,952.35,201108,0
2024-12-20 12:15:00+05:30,952.35,952.35,940.2,941.85,649021,0
2024-12-20 13:15:00+05:30,941.7,943.95,932.05,933.1,674248,0
2024-12-20 14:15:00+05:30,933.4,936.5,927.6,928.8,1224277,0
2024-12-20 15:15:00+05:30,928.75,931.35,926.45,930.9,755337,0
2024-12-23 09:15:00+05:30,938.95,940.85,930.05,939.3,410929,0
2024-12-23 10:15:00+05:30,939.3,943.9,936.0,942.45,293865,0
2024-12-23 11:15:00+05:30,942.3,946.95,942.0,944.15,316680,0
2024-12-23 12:15:00+05:30,944.3,948.8,943.9,944.1,301228,0
2024-12-23 13:15:00+05:30,944.1,947.7,942.0,943.3,317701,0
2024-12-23 14:15:00+05:30,943.3,947.8,942.1,946.9,616135,0
2024-12-23 15:15:00+05:30,947.0,947.3,942.0,943.5,226357,0
2024-12-24 09:15:00+05:30,941.0,944.1,938.0,939.6,666143,0
2024-12-24 10:15:00+05:30,939.8,946.0,939.45,944.1,810046,0
2024-12-24 11:15:00+05:30,944.55,945.5,936.0,936.0,710250,0
2024-12-24 12:15:00+05:30,936.0,937.5,933.3,935.05,766287,0
2024-12-24 13:15:00+05:30,935.05,936.45,930.5,932.7,880072,0
2024-12-24 14:15:00+05:30,932.65,936.9,929.8,934.8,1409342,0
2024-12-24 15:15:00+05:30,935.2,937.1,931.5,935.5,343822,0
2024-12-26 09:15:00+05:30,940.0,945.0,933.55,934.25,758950,0
2024-12-26 10:15:00+05:30,934.05,938.45,928.25,936.65,714246,0
2024-12-26 11:15:00+05:30,936.65,938.65,933.15,937.05,676467,0
2024-12-26 12:15:00+05:30,937.1,938.25,933.6,934.0,969167,0
2024-12-26 13:15:00+05:30,934.05,936.85,933.0,934.0,779768,0
2024-12-26 14:15:00+05:30,934.45,934.8,929.5,932.0,1057503,0
2024-12-26 15:15:00+05:30,932.0,933.5,931.0,931.85,288184,0
2024-12-27 09:15:00+05:30,933.05,961.9,933.05,957.55,1650018,0
2024-12-27 10:15:00+05:30,957.65,971.1,957.25,967.9,1827040,0
2024-12-27 11:15:00+05:30,967.55,969.8,960.6,961.05,866809,0
2024-12-27 12:15:00+05:30,961.05,961.75,955.5,957.55,764312,0
2024-12-27 13:15:00+05:30,957.55,958.9,955.5,956.7,317758,0
