datetime,open,high,low,close,volume,oi
2024-12-05 09:15:00+05:30,1600.0,1604.0,1585.35,1598.65,1340148,0
2024-12-05 10:15:00+05:30,1598.65,1603.0,1587.5,1593.85,720885,0
2024-12-05 11:15:00+05:30,1593.85,1603.35,1589.1,1599.7,1105722,0
2024-12-05 12:15:00+05:30,1599.55,1608.05,1597.1,1603.45,1474306,0
2024-12-05 13:15:00+05:30,1603.55,1611.0,1596.9,1609.75,930172,0
2024-12-05 14:15:00+05:30,1610.0,1620.55,1593.7,1619.8,3734607,0
2024-12-05 15:15:00+05:30,1619.7,1622.05,1612.1,1613.25,853493,0
2024-12-06 09:15:00+05:30,1618.0,1624.65,1611.0,1612.7,1218547,0
2024-12-06 10:15:00+05:30,1612.7,1618.05,1605.1,1609.2,337961,0
2024-12-06 11:15:00+05:30,1609.2,1610.45,1601.25,1604.95,288929,0
2024-12-06 12:15:00+05:30,1604.95,1607.15,1598.4,1598.8,613195,0
2024-12-06 13:15:00+05:30,1599.0,1600.0,1594.8,1598.75,395629,0
2024-12-06 14:15:00+05:30,1598.7,1599.7,1595.45,1597.45,1049410,0
2024-12-06 15:15:00+05:30,1597.55,1599.0,1595.65,1597.75,364594,0
2024-12-09 09:15:00+05:30,1595.9,1605.0,1589.05,1594.15,780567,0
2024-12-09 10:15:00+05:30,1594.15,1602.2,1591.0,1600.0,444906,0
2024-12-09 11:15:00+05:30,1600.0,1605.9,1600.0,1602.85,247084,0
2024-12-09 12:15:00+05:30,1602.8,1602.85,1597.85,1599.8,391923,0
2024-12-09 13:15:00+05:30,1599.75,1603.5,1598.8,1603.5,445793,0
2024-12-09 14:15:00+05:30,1603.5,1605.0,1599.3,1603.1,1421994,0
2024-12-09 15:15:00+05:30,1603.0,1604.35,1600.35,1604.0,490581,0
2024-12-10 09:15:00+05:30,1610.55,1611.85,1583.0,1589.85,1270085,0
2024-12-10 10:15:00+05:30,1589.25,1590.65,1579.0,1584.15,4742642,0
2024-12-10 11:15:00+05:30,1584.2,1586.2,1577.6,1581.05,3341194,0
2024-12-10 12:15:00+05:30,1581.05,1581.45,1570.15,1575.35,856919,0
2024-12-10 13:15:00+05:30,1575.35,1577.55,1570.05,1573.3,1311621,0
2024-12-10 14:15:00+05:30,1573.3,1579.3,1572.0,1579.0,2179147,0
2024-12-10 15:15:00+05:30,1579.0,1581.0,1576.3,1580.05,912450,0
2024-12-11 09:15:00+05:30,1588.0,1588.0,1571.2,1577.45,474098,0
2024-12-11 10:15:00+05:30,1577.45,1587.6,1574.5,1578.9,697884,0
2024-12-11 11:15:00+05:30,1579.15,1581.2,1575.25,1578.2,484883,0
2024-12-11 12:15:00+05:30,1578.2,1581.45,1573.9,1580.95,893743,0
