datetime,open,high,low,close,volume,oi
2020-07-14 00:00:00+05:30,414.85,421.2,412.35,414.2,3272382,0
2020-07-15 00:00:00+05:30,417.65,417.9,406.3,408.0,2102379,0
2020-07-16 00:00:00+05:30,410.3,410.7,402.15,405.25,2052278,0
2020-07-17 00:00:00+05:30,406.35,419.3,405.95,417.8,2774867,0
2020-07-20 00:00:00+05:30,421.45,421.45,412.8,417.9,1701807,0
2020-07-21 00:00:00+05:30,418.8,419.55,403.4,404.4,2786677,0
2020-07-22 00:00:00+05:30,404.95,412.3,399.05,402.0,2652980,0
2020-07-23 00:00:00+05:30,404.55,407.3,397.75,399.45,3029694,0
2020-07-24 00:00:00+05:30,399.75,409.9,397.4,403.45,3162915,0
2020-07-27 00:00:00+05:30,403.45,408.9,399.35,403.45,3171762,0
2020-07-28 00:00:00+05:30,404.9,411.3,404.0,408.0,3543934,0
2020-07-29 00:00:00+05:30,411.9,424.6,411.9,422.45,6011991,0
2020-07-30 00:00:00+05:30,425.1,426.7,416.35,419.7,1889543,0
2020-07-31 00:00:00+05:30,419.8,428.65,419.8,422.8,3153930,0
2020-08-03 00:00:00+05:30,423.7,434.6,422.45,428.75,2953555,0
2020-08-04 00:00:00+05:30,434.0,446.75,430.65,444.25,6900817,0
2020-08-05 00:00:00+05:30,459.3,466.0,434.9,442.1,20429184,0
2020-08-06 00:00:00+05:30,444.5,483.0,443.55,478.8,16080089,0
2020-08-07 00:00:00+05:30,481.6,523.45,476.75,512.25,30939955,0
2020-08-10 00:00:00+05:30,514.55,519.55,504.45,513.9,6917758,0
2020-08-11 00:00:00+05:30,518.05,521.4,508.0,509.55,4748717,0
2020-08-12 00:00:00+05:30,508.85,515.6,502.9,511.2,3932144,0
2020-08-13 00:00:00+05:30,513.6,536.35,512.2,532.45,7975154,0
2020-08-14 00:00:00+05:30,535.3,537.8,524.05,530.9,5995638,0
2020-08-17 00:00:00+05:30,534.5,541.25,531.7,537.05,5106908,0
2020-08-18 00:00:00+05:30,538.85,546.6,535.85,539.05,3369534,0
2020-08-19 00:00:00+05:30,540.75,544.35,535.7,541.45,3642343,0
2020-08-20 00:00:00+05:30,534.75,546.4,533.4,542.5,4872194,0
2020-08-21 00:00:00+05:30,546.2,550.1,537.45,539.1,2990106,0
2020-08-24 00:00:00+05:30,539.8,543.25,536.9,538.85,2149619,0
2020-08-25 00:00:00+05:30,540.7,541.0,534.6,538.85,1873497,0
2020-08-26 00:00:00+05:30,538.2,554.5,538.0,542.4,5849860,0
2020-08-27 00:00:00+05:30,546.0,547.05,536.85,537.95,2604170,0
2020-08-28 00:00:00+05:30,541.15,549.05,537.3,540.35,2726420,0
2020-08-31 00:00:00+05:30,542.25,545.55,521.7,525.8,5612841,0
2020-09-01 00:00:00+05:30,519.55,543.05,519.55,541.75,3902898,0
2020-09-02 00:00:00+05:30,545.2,549.15,535.45,543.1,4092943,0
2020-09-03 00:00:00+05:30,541.75,584.7,541.75,571.4,12202072,0
2020-09-04 00:00:00+05:30,561.95,580.2,559.65,562.05,6544395,0
2020-09-07 00:00:00+05:30,563.0,565.0,535.35,538.6,5319619,0
2020-09-08 00:00:00+05:30,540.5,541.95,527.1,531.75,3940332,0
2020-09-09 00:00:00+05:30,527.45,534.25,522.65,528.2,4446650,0
2020-09-10 00:00:00+05:30,531.4,542.15,527.6,539.85,3834162,0
2020-09-11 00:00:00+05:30,543.05,546.2,534.3,541.65,3494550,0
2020-09-14 00:00:00+05:30,545.2,548.4,536.75,539.8,2844253,0
2020-09-15 00:00:00+05:30,540.3,543.75,533.85,535.7,1835952,0
2020-09-16 00:00:00+05:30,535.3,539.65,530.95,535.75,2154389,0
2020-09-17 00:00:00+05:30,535.35,545.2,526.6,541.55,3771642,0
2020-09-18 00:00:00+05:30,544.3,546.45,530.7,533.95,9512244,0
2020-09-21 00:00:00+05:30,533.95,535.65,495.85,501.5,3934681,0
2020-09-22 00:00:00+05:30,498.25,505.4,484.4,498.2,5177092,0
2020-09-23 00:00:00+05:30,499.8,504.65,484.0,487.5,4337639,0
2020-09-24 00:00:00+05:30,483.9,486.8,472.15,482.65,9767408,0
2020-09-25 00:00:00+05:30,492.7,505.7,489.2,503.55,5217543,0
2020-09-28 00:00:00+05:30,507.7,515.6,497.35,510.65,5623264,0
2020-09-29 00:00:00+05:30,513.2,520.55,493.95,497.05,4979562,0
2020-09-30 00:00:00+05:30,500.8,509.15,489.45,493.8,6330006,0
2020-10-01 00:00:00+05:30,502.3,504.9,492.95,502.85,3108534,0
2020-10-05 00:00:00+05:30,507.1,507.1,495.95,497.35,2048296,0
2020-10-06 00:00:00+05:30,500.8,507.2,496.7,499.4,3010424,0
2020-10-07 00:00:00+05:30,500.8,504.75,495.45,498.85,2184094,0
2020-10-08 00:00:00+05:30,500.6,502.05,479.05,482.25,5487172,0
2020-10-09 00:00:00+05:30,484.2,487.0,464.3,465.45,6805248,0
2020-10-12 00:00:00+05:30,468.65,477.65,464.6,468.85,4477544,0
2020-10-13 00:00:00+05:30,468.0,471.65,461.3,463.2,2288930,0
2020-10-14 00:00:00+05:30,462.95,485.35,457.85,483.8,8121370,0
2020-10-15 00:00:00+05:30,486.95,488.15,465.2,468.3,4758519,0
2020-10-16 00:00:00+05:30,472.85,480.7,469.2,471.25,4367082,0
2020-10-19 00:00:00+05:30,476.0,478.3,466.25,470.0,3201387,0
2020-10-20 00:00:00+05:30,470.15,478.05,469.3,472.05,2770608,0
2020-10-21 00:00:00+05:30,473.8,476.4,453.3,459.6,4968267,0
2020-10-22 00:00:00+05:30,459.95,464.7,454.8,460.5,3503965,0
2020-10-23 00:00:00+05:30,464.2,468.2,460.5,467.0,2651801,0
2020-10-26 00:00:00+05:30,469.05,478.35,464.4,471.1,6178397,0
2020-10-27 00:00:00+05:30,472.15,495.5,472.15,492.65,10585307,0
2020-10-28 00:00:00+05:30,495.65,498.6,483.55,486.8,5260067,0
2020-10-29 00:00:00+05:30,482.6,489.3,478.35,485.95,4420379,0
2020-10-30 00:00:00+05:30,487.95,494.15,482.9,486.8,4457971,0
2020-11-02 00:00:00+05:30,487.95,492.1,482.3,487.7,6181065,0
2020-11-03 00:00:00+05:30,491.7,498.35,482.3,483.5,8204307,0
2020-11-04 00:00:00+05:30,484.95,492.45,483.0,486.7,5087262,0
2020-11-05 00:00:00+05:30,490.9,502.95,489.75,500.25,5273501,0
2020-11-06 00:00:00+05:30,501.5,504.1,495.3,498.0,3249555,0
2020-11-09 00:00:00+05:30,504.75,511.5,499.3,503.6,6255994,0
2020-11-10 00:00:00+05:30,504.9,507.2,488.9,492.3,3295766,0
2020-11-11 00:00:00+05:30,493.35,498.7,488.9,497.25,2948800,0
2020-11-12 00:00:00+05:30,498.8,506.2,496.05,502.5,2771911,0
2020-11-13 00:00:00+05:30,503.55,512.65,501.95,506.95,4055223,0
