datetime,open,high,low,close,volume,oi
2020-07-14 00:00:00+05:30,121.4,121.4,119.15,119.4,7234663,0
2020-07-15 00:00:00+05:30,119.95,120.5,118.75,119.15,7037830,0
2020-07-16 00:00:00+05:30,118.95,119.15,116.0,117.4,11785672,0
2020-07-17 00:00:00+05:30,117.85,122.9,117.85,121.55,11331580,0
2020-07-20 00:00:00+05:30,124.3,125.3,122.6,123.8,16602099,0
2020-07-21 00:00:00+05:30,124.3,125.2,122.85,123.9,10375599,0
2020-07-22 00:00:00+05:30,124.5,127.25,123.6,124.8,14123442,0
2020-07-23 00:00:00+05:30,125.6,126.2,124.0,124.25,5534401,0
2020-07-24 00:00:00+05:30,123.7,123.7,121.0,122.55,8426461,0
2020-07-27 00:00:00+05:30,122.55,122.7,120.45,120.95,5361640,0
2020-07-28 00:00:00+05:30,121.1,121.7,119.65,121.45,5274400,0
2020-07-29 00:00:00+05:30,121.0,123.35,120.75,122.15,5730273,0
2020-07-30 00:00:00+05:30,122.25,122.6,119.4,119.7,5755343,0
2020-07-31 00:00:00+05:30,120.05,121.0,118.75,120.35,5310134,0
2020-08-03 00:00:00+05:30,120.9,120.9,119.25,119.5,4101652,0
2020-08-04 00:00:00+05:30,120.65,122.6,119.6,119.85,8225373,0
2020-08-05 00:00:00+05:30,120.25,121.1,119.35,119.55,6357551,0
2020-08-06 00:00:00+05:30,120.1,122.15,119.4,119.95,7905921,0
2020-08-07 00:00:00+05:30,120.55,121.35,119.65,120.8,6553630,0
2020-08-10 00:00:00+05:30,121.3,122.1,120.1,120.35,7123618,0
2020-08-11 00:00:00+05:30,121.15,121.95,120.75,121.1,5668353,0
2020-08-12 00:00:00+05:30,121.0,121.2,119.6,119.8,10656136,0
2020-08-13 00:00:00+05:30,119.85,121.15,119.4,120.05,7333041,0
2020-08-14 00:00:00+05:30,120.45,124.95,120.2,122.7,23946126,0
2020-08-17 00:00:00+05:30,124.3,127.55,123.2,126.6,23263429,0
2020-08-18 00:00:00+05:30,127.2,128.95,126.3,127.2,14887919,0
2020-08-19 00:00:00+05:30,128.0,128.45,125.15,125.8,7440433,0
2020-08-20 00:00:00+05:30,124.8,129.4,124.15,128.95,16865173,0
2020-08-21 00:00:00+05:30,129.9,132.0,129.4,129.9,18104029,0
2020-08-24 00:00:00+05:30,131.0,131.65,129.15,130.1,7621614,0
2020-08-25 00:00:00+05:30,131.1,131.25,129.6,130.75,8785149,0
2020-08-26 00:00:00+05:30,130.85,134.0,130.25,132.1,20083742,0
2020-08-27 00:00:00+05:30,132.85,133.35,130.3,130.85,9356658,0
2020-08-28 00:00:00+05:30,131.35,132.55,129.05,129.45,9056537,0
2020-08-31 00:00:00+05:30,129.65,132.3,124.65,125.05,18673288,0
2020-09-01 00:00:00+05:30,125.8,126.05,121.65,124.25,10567434,0
2020-09-02 00:00:00+05:30,126.15,128.0,125.45,126.85,16749485,0
2020-09-03 00:00:00+05:30,128.0,128.5,124.6,126.35,17375928,0
2020-09-04 00:00:00+05:30,124.8,127.0,122.3,123.3,9952601,0
2020-09-07 00:00:00+05:30,123.8,124.55,121.7,122.8,8781895,0
2020-09-08 00:00:00+05:30,122.95,123.5,120.45,120.95,7292473,0
2020-09-09 00:00:00+05:30,120.05,120.1,116.15,118.2,13115865,0
2020-09-10 00:00:00+05:30,119.15,119.4,116.85,117.9,12007586,0
