Symbol,Strategy,Return %,Win Rate %,Profit Factor,Sharpe,Max DD %,Trades,Avg Trade ₹,Total Charges ₹
RELIANCE,EMA_21_55,-6.581541655097012,37.254901960784316,0.8808911711966732,-0.020208612215421286,-29.089920922473624,51,-129.04983637445108,1147.6970319425895
RELIANCE,RSI_Divergence,-20.699963487833855,38.18181818181819,0.5843530350702917,-0.4212522971674632,-37.64821522993092,55,-376.36297250606975,3110.4592148636807
RELIANCE,VWAP_Pullback,-68.08594937021557,22.377622377622377,0.3918304856338055,-0.7338276948103378,-76.49735849990431,143,-476.12552007143756,2946.642698054425
RELIANCE,BB_Squeeze,-3.5295414576823823,32.432432432432435,0.9245097820655328,-0.010042027988538135,-24.972546890487628,37,-95.39301236979406,2045.0310748664292
RELIANCE,EMA_3_Scalping,-18.651960241986902,36.84210526315789,0.6898923755188245,-0.3758519264533908,-25.765937842048785,57,-327.2273726664373,4531.734639589261
RELIANCE,Supply_Demand,-22.7328621228338,15.384615384615385,0.4120980357427444,-0.8886284579524009,-24.115139013883358,26,-874.3408508782221,1107.142071941773
RELIANCE,Stochastic_Confluence,-0.14025281952011576,35.483870967741936,0.9962574096534073,0.042944003640553785,-23.61172863112556,31,-4.524284500650391,1327.9530951854497
RELIANCE,Fib_3Wave,12.911649494505662,90.0,44.13302933884462,1.1928783674392451,-0.28094871470620814,10,1291.164949450566,928.0078901343386
RELIANCE,Multi_Timeframe,-29.332543654730163,24.358974358974358,0.681927826442954,-0.20170697067919996,-51.353640833683215,78,-376.05825198371997,2935.5998605731093
TCS,EMA_21_55,21.515951769782333,57.14285714285714,2.307048375113752,0.42192008917782475,-18.6818469942997,21,1024.5691318943952,546.417847886797
TCS,RSI_Divergence,28.014238894426917,46.666666666666664,1.50387736261308,0.4565852134336273,-29.55636433559725,60,466.9039815737824,4554.232556298686
TCS,VWAP_Pullback,12.397459446668261,40.17857142857143,1.075869169250373,0.2089049408298785,-53.39092970811906,112,110.6916022023946,5788.883880297155
TCS,BB_Squeeze,2.69217312916879,34.61538461538461,1.0754163126268454,0.10407622494039016,-20.907332145454955,26,103.54512035264575,1478.0120252609202
TCS,EMA_3_Scalping,35.57808922202448,54.6875,1.5552892119383446,0.5849356217962002,-16.62203858448925,64,555.9076440941321,6004.109183080839
TCS,Supply_Demand,-15.358290903283429,18.181818181818183,0.461295464563406,-0.4883234987644415,-18.729027112092474,22,-698.1041319674288,1337.7609670219324
