Stock,Strategy,Type,Total_Trades,Win_Rate,Total_Return,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Profit_Factor
ADANIPORTS,Individual_Fib3Wave,Individual,11,100.0,50.766750451686974,1.5119227691189592,0.5000252799063064,-3.6622025181835935,inf
ADANIPORTS,Individual_EMA2155,Individual,5,0.0,-174.8925762626407,0.07637652376417062,0.08164450782845842,-198.27885409230058,0.0
ADANIPORTS,Individual_MultiTF,Individual,68,38.23529411764706,29.93270065783293,0.32983031101523724,0.4082262344554908,-35.42745532868208,1.2363516505529664
ADANIPORTS,Combo_TrendMomentum,Combined,36,41.66666666666667,17.106596839973996,0.3965979721450407,0.3826593629104084,-19.696805906356673,1.3641659281670826
ADANIPORTS,Combo_VolumePrice,Combined,56,44.642857142857146,35.758010158028135,0.5871828437985608,0.5762300582817909,-21.9380367039521,1.4634114740824102
ADANIPORTS,Combo_Breakout,Combined,30,36.666666666666664,-0.055050989662224305,0.04074494159562363,0.027751468744612953,-12.554975975902364,0.9985493759423489
ADANIPORTS,Combo_TrendFollow,Combined,12,50.0,11.715075929277155,0.4996318916917984,0.30165949730658914,-7.940881381939067,1.9118796619430776
ADANIPORTS,Combo_BestPerformers,Combined,3,100.0,12.146027532481444,0.9001728352810688,0.44243878162101513,-4.330371105522988,inf
ADANIPORTS,Combo_Scalping,Combined,10,30.0,-2.8709029734529756,-0.11810309045438823,-0.06662679885544477,-10.32318205900782,0.8043620146415188
APOLLOHOSP,Individual_Fib3Wave,Individual,5,80.0,2.3517459190018997,0.3143237928835914,0.032605016705993965,-2.093864284884318,43.30285523215247
APOLLOHOSP,Individual_EMA2155,Individual,23,60.86956521739131,148.83992494471798,1.0106112231453537,1.6542781622782716,-25.046166252938562,9.738772248021032
APOLLOHOSP,Individual_MultiTF,Individual,87,49.42528735632184,160.7159283269392,0.8623935540678437,1.0404347206363114,-36.91436085300285,1.8015671319164317
APOLLOHOSP,Combo_TrendMomentum,Combined,37,32.432432432432435,-6.165066925737673,-0.1048231518560604,-0.07325149406920353,-27.469417681335926,0.8792178019009624
APOLLOHOSP,Combo_VolumePrice,Combined,64,39.0625,15.598478182971668,0.26342676421368844,0.25470251461296034,-22.614891652363195,1.1904689487498168
APOLLOHOSP,Combo_Breakout,Combined,30,33.33333333333333,-2.2802831476060095,-0.02304378867615892,-0.01703698434404485,-23.095255770476513,0.9438768653783807
APOLLOHOSP,Combo_TrendFollow,Combined,14,42.857142857142854,6.313063235124239,0.2472269557289078,0.13735790473555046,-8.677738839018534,1.359322459658817
APOLLOHOSP,Combo_BestPerformers,Combined,2,50.0,1.4293664085560593,0.19017165708247705,0.08471154039631298,-3.881121459529243,1.7231421668510385
APOLLOHOSP,Combo_Scalping,Combined,9,33.33333333333333,-1.2605739138067438,-0.06085011643717128,-0.032004505473535824,-6.23647396822556,0.8902665316936212
ASIANPAINT,Individual_Fib3Wave,Individual,10,100.0,21.738578712936796,1.4151710293618212,0.4188842256756113,-1.9950954514092976,inf
ASIANPAINT,Individual_EMA2155,Individual,5,100.0,27.723703314789383,0.42097476097667524,0.5940494256347463,-24.689680834618745,inf
ASIANPAINT,Individual_MultiTF,Individual,89,32.58426966292135,-8.377457994075362,0.04667088983348757,0.04711481542512039,-48.478962295879604,0.9460207676393467
ASIANPAINT,Combo_TrendMomentum,Combined,27,40.74074074074074,8.173965822049897,0.2948007732810032,0.22310029300491432,-11.269663733989717,1.2302654521173513
ASIANPAINT,Combo_VolumePrice,Combined,43,46.51162790697674,30.004505442044465,0.5297349081332638,0.6344424815089946,-18.999200521685093,1.536032599117363
ASIANPAINT,Combo_Breakout,Combined,27,37.03703703703704,3.2001112508553633,0.1234595189221027,0.08677561733562017,-15.707876218091418,1.084531345467251
ASIANPAINT,Combo_TrendFollow,Combined,12,41.66666666666667,4.6050529778400815,0.2629718779332213,0.12469328962061921,-9.72138696644696,1.293058319876469
ASIANPAINT,Combo_BestPerformers,Combined,2,100.0,7.816725036945151,1.041103446211625,0.2149092555307245,-1.3789050489740238,inf
ASIANPAINT,Combo_Scalping,Combined,3,100.0,11.732568257936334,0.6210397037083052,0.38782193313209606,-2.0880253331141536,inf
AXISBANK,Individual_Fib3Wave,Individual,9,100.0,13.65998542778977,1.2282258597332794,97.95816459882782,-0.009457742616337337,inf
AXISBANK,Individual_EMA2155,Individual,5,100.0,93.53127295086678,0.8113938451707575,1.2097590465954322,-20.835834644367367,inf
AXISBANK,Individual_MultiTF,Individual,76,30.263157894736842,-16.310441880647357,-0.04100558377824814,-0.04212358847441828,-41.72115727194445,0.8496830785947098
AXISBANK,Combo_TrendMomentum,Combined,33,36.36363636363637,1.848886642287267,0.082455652430048,0.06105356940634894,-16.759259051164545,1.041816700723301
AXISBANK,Combo_VolumePrice,Combined,57,36.84210526315789,4.264177654250671,0.12416283969889727,0.12476247267387625,-20.604410410058456,1.052198038968665
AXISBANK,Combo_Breakout,Combined,23,30.434782608695656,-5.603477222367059,-0.1158315164089787,-0.09047751167570982,-15.19543902004577,0.8167749204913094
AXISBANK,Combo_TrendFollow,Combined,15,40.0,4.267162770980227,0.1952111706342055,0.1264289314526539,-9.187699862442928,1.2207649072897653
AXISBANK,Combo_BestPerformers,Combined,2,0.0,-4.050886400495525,-0.3784980032316063,-0.06984204166301201,-7.098925198932533,0.0
AXISBANK,Combo_Scalping,Combined,5,40.0,1.291385828555751,0.10035438478326084,0.04287444413810703,-5.321649031071446,1.2097157371845981
BAJAJ-AUTO,Individual_Fib3Wave,Individual,7,85.71428571428571,7.304782498484812,0.9338073987356535,0.6062844957348532,-0.4107197354612923,18.833358365708158
BAJAJ-AUTO,Individual_EMA2155,Individual,5,100.0,99.59799005056685,0.9582260309845189,1.3326374221067971,-32.48857101687521,inf
BAJAJ-AUTO,Individual_MultiTF,Individual,80,41.25,59.768738925968236,0.5330501270396856,0.532756513727278,-27.40902912107588,1.4995411988668632
BAJAJ-AUTO,Combo_TrendMomentum,Combined,29,31.03448275862069,-7.949915813407671,-0.20092825096858286,-0.13637488207402748,-21.265526852374094,0.7809959730885253
