Stock,Strategy,Total_Trades,Win_Rate,Total_Return,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Profit_Factor
ADANIPORTS,ADX_DMI_OBV,9,44.44444444444444,5.100164918273178,0.23976523452603699,0.15871345521571284,-11.945232351863023,1.4721509916751787
ADANIPORTS,CCI_Divergence,15,40.0,4.781166986800803,0.22409721815469807,0.15195858101923818,-8.13495329886174,1.2447305156090211
ADANIPORTS,StochRSI_MACD,8,37.5,2.6461663139946903,0.14020806593473287,0.0831829649891104,-4.652918448781129,1.298504896424786
ADANIPORTS,TDI,126,34.92063492063492,-8.269640366336068,-0.023916680354025128,-0.026414652470450238,-42.80021070874984,0.9427520798309242
ADANIPORTS,MA_Envelopes,64,65.625,-1.4624408088284544,-0.0616886775526385,-0.02342395063106609,-6.828281682807057,0.9321718948447526
ADANIPORTS,GMMA,30,36.666666666666664,-34.48571733437269,-0.34115113056113705,-0.49261203673177884,-45.72489517890217,0.512395281318469
ADANIPORTS,Momentum_Zero,50,32.0,-6.753071371415165,-0.0957501863959238,-0.09035559993749724,-26.336185502341003,0.8951851814431553
ADANIPORTS,Ascending_Triangle,15,46.666666666666664,10.967874429493095,0.44285079678607886,0.2824163699169397,-6.997918191431905,1.6193869643437842
APOLLOHOSP,ADX_DMI_OBV,5,40.0,1.5010724055748432,0.11491840040149706,0.04496609632420103,-6.500877813671914,1.243230293776031
APOLLOHOSP,CCI_Divergence,24,41.66666666666667,8.262011841953107,0.2534376118549546,0.17479398709011343,-13.3832882243935,1.3103990157905456
APOLLOHOSP,StochRSI_MACD,11,36.36363636363637,1.0458961171826378,0.06839696871571813,0.034467118883100306,-7.998234737559266,1.0768126749153326
APOLLOHOSP,TDI,120,28.333333333333332,-37.44773114702057,-0.5985111597401452,-0.6081764984153172,-42.62348368927668,0.70245218926533
APOLLOHOSP,MA_Envelopes,45,53.333333333333336,-6.977451317687606,-0.5286194026348986,-0.19060000629140497,-12.073801256713095,0.6318065732322534
APOLLOHOSP,GMMA,27,40.74074074074074,41.43534517351555,0.8901798122760839,1.298742972304018,-8.200225308106583,2.3357745985452536
APOLLOHOSP,Momentum_Zero,52,34.61538461538461,-0.26787257006109577,0.0356061135915946,0.04085902478035167,-16.526114420964362,0.9961381945945305
APOLLOHOSP,Ascending_Triangle,21,42.857142857142854,11.034001423510258,0.3680193830317973,0.28732774508068726,-6.661018203800856,1.45875231223041
ASIANPAINT,ADX_DMI_OBV,10,20.0,-8.217840207317611,-0.5246821097340227,-0.21791550563476453,-12.324182756358356,0.4622005357731737
ASIANPAINT,CCI_Divergence,19,36.84210526315789,-4.018062467156022,-0.10652682510994882,-0.0675143709165429,-13.982742532127784,0.8302821109039745
ASIANPAINT,StochRSI_MACD,8,37.5,0.9356646500026109,0.06415193737151316,0.046803941973080666,-8.04899060083239,1.088283825500775
ASIANPAINT,TDI,111,41.44144144144144,48.82045163025753,0.5892857903270581,0.6419777696279396,-20.064461760988756,1.2867740543344457
ASIANPAINT,MA_Envelopes,27,62.96296296296296,1.7783009232022302,0.1226497686608375,0.03886816457920549,-6.195752135004617,1.153417367416798
ASIANPAINT,GMMA,31,41.935483870967744,11.530762156856799,0.3842564736264508,0.3477269900052841,-12.97844910474383,1.291969745332872
ASIANPAINT,Momentum_Zero,44,36.36363636363637,3.685425851693348,0.12113911261517224,0.12436151508375991,-30.719352244737667,1.0548907397849066
ASIANPAINT,Ascending_Triangle,17,41.17647058823529,2.7806857078141185,0.1154622045764369,0.0737193549992318,-14.38695956899218,1.1344141424953713
AXISBANK,ADX_DMI_OBV,5,40.0,-0.9018607415634032,-0.055262305472775254,-0.02106754950249601,-7.172326008583118,0.8557244039674923
AXISBANK,CCI_Divergence,19,47.368421052631575,14.99572969444799,0.5136064352198018,0.4427599592270027,-13.190412558540002,1.6341189499821065
AXISBANK,StochRSI_MACD,15,53.333333333333336,16.941959647703055,0.5291883475668238,0.3196009741917651,-8.09998513254123,2.0539791704565924
AXISBANK,TDI,90,45.55555555555556,77.38270701746674,0.8380558723703788,1.0369533969082212,-29.190323630458337,1.5973290597386631
