SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DCAL, EQ, 08-Aug-2022,120.95,121.0,124.9,121.0,122.95,122.85,123.33,218000,268.85,3494,127017,58.26
DCBBANK, EQ, 08-Aug-2022,84.5,84.5,85.8,84.2,85.3,85.25,85.19,390529,332.68,3577,231400,59.25
DCM, EQ, 08-Aug-2022,48.95,49.8,49.8,47.25,47.45,47.5,48.07,108173,52.0,1068,71928,66.49
DCMFINSERV, EQ, 08-Aug-2022,3.65,3.65,3.9,3.3,3.55,3.45,3.49,18819,0.66,76,9907,52.64
DCMNVL, EQ, 08-Aug-2022,189.15,189.0,191.75,185.95,186.05,186.3,188.45,27748,52.29,1102,16651,60.01
DCMSHRIRAM, EQ, 08-Aug-2022,1039.05,1040.0,1064.75,1016.6,1017.0,1025.85,1041.59,169029,1760.59,13180,55465,32.81
DCMSRIND, EQ, 08-Aug-2022,78.25,78.95,81.95,78.05,80.7,80.25,79.95,219135,175.21,3256,102801,46.91
DCW, EQ, 08-Aug-2022,37.65,38.1,38.25,36.9,37.15,37.05,37.53,1211854,454.8,4308,804325,66.37
DECCANCE, EQ, 08-Aug-2022,513.55,513.55,519.3,505.7,510.0,510.8,513.37,5468,28.07,473,3965,72.51
DEEPAKFERT, EQ, 08-Aug-2022,809.8,824.55,850.25,819.95,850.25,850.25,843.07,617966,5209.88,20135,357533,57.86
DEEPAKNTR, EQ, 08-Aug-2022,2025.1,2010.0,2036.2,2005.0,2008.5,2009.8,2018.09,470749,9500.16,27659,121160,25.74
DEEPENR, EQ, 08-Aug-2022,85.9,88.0,88.0,83.5,84.0,84.05,85.05,14433,12.28,322,7875,54.56
DEEPINDS, EQ, 08-Aug-2022,194.4,196.5,196.5,189.65,194.0,192.2,192.29,49033,94.29,1089,32375,66.03
DELHIVERY, EQ, 08-Aug-2022,633.7,636.9,658.0,626.1,641.5,642.3,644.41,513854,3311.3,17974,113501,22.09
DELPHIFX, EQ, 08-Aug-2022,430.1,439.8,460.0,430.45,457.0,454.5,446.65,1668,7.45,224,1048,62.83
DELTACORP, EQ, 08-Aug-2022,194.55,195.7,196.6,190.8,194.65,193.55,193.49,2253046,4359.51,17413,578472,25.68
DELTAMAGNT, EQ, 08-Aug-2022,81.15,83.95,89.25,82.9,84.1,84.0,87.28,58034,50.65,1003,32059,55.24
DEN, EQ, 08-Aug-2022,34.75,35.0,35.2,34.1,34.75,34.8,34.65,404162,140.05,2231,198464,49.11
DENORA, EQ, 08-Aug-2022,693.1,717.7,717.7,662.5,685.0,674.45,680.28,11998,81.62,926,6113,50.95
DEVIT, EQ, 08-Aug-2022,197.1,196.0,203.1,196.0,199.0,199.8,199.69,87689,175.11,1087,43454,49.55
DEVYANI, EQ, 08-Aug-2022,187.3,187.9,191.6,182.7,188.2,188.65,187.28,3534697,6619.85,31531,1187668,33.6
DFMFOODS, EQ, 08-Aug-2022,211.7,211.7,212.75,204.0,204.0,205.85,208.5,67454,140.64,2152,48514,71.92
DGCONTENT, EQ, 08-Aug-2022,13.45,13.0,14.75,13.0,14.1,14.1,14.22,104551,14.87,197,91934,87.93
DHAMPURSUG, EQ, 08-Aug-2022,227.9,229.0,229.7,224.0,227.4,227.7,226.6,181527,411.35,4990,84532,46.57
DHANBANK, EQ, 08-Aug-2022,12.25,12.15,12.5,12.15,12.4,12.35,12.37,274653,33.99,636,209070,76.12
DHANI, EQ, 08-Aug-2022,48.7,47.0,47.85,46.3,46.3,46.3,46.59,3262253,1519.95,10821,1497709,45.91
DHANILOANS, N6, 08-Aug-2022,992.98,992.9,992.9,992.9,992.9,992.9,992.9,9,0.09,2,9,100
DHANILOANS, NF, 08-Aug-2022,980.0,975.0,975.0,975.0,975.0,975.0,975.0,20,0.2,1,20,100
DHANILOANS, NO, 08-Aug-2022,960.0,965.0,965.0,965.0,965.0,965.0,965.0,7,0.07,1,7,100
DHANILOANS, NR, 08-Aug-2022,1005.2,1005.2,1005.2,1005.2,1005.2,1005.2,1005.2,10,0.1,1,10,100
DHANUKA, EQ, 08-Aug-2022,692.15,704.0,704.0,684.0,687.5,686.4,690.48,29755,205.45,3119,18758,63.04
DHANVARSHA, EQ, 08-Aug-2022,93.65,93.85,94.85,88.55,89.0,89.1,90.89,200140,181.92,2101,111990,55.96
